ALV-5000/E-WIN Data
Date :	"15.03.18"
Time :	"11:38:48"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      60.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      59.56854
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  5.78011E-001
  4.00000E-004	  5.77723E-001
  6.00000E-004	  5.48399E-001
  8.00000E-004	  5.38080E-001
  1.00000E-003	  5.47295E-001
  1.20000E-003	  5.52046E-001
  1.40000E-003	  5.40240E-001
  1.60000E-003	  5.41008E-001
  1.80000E-003	  5.29346E-001
  2.00000E-003	  5.45135E-001
  2.20000E-003	  5.45519E-001
  2.40000E-003	  5.50607E-001
  2.60000E-003	  5.39376E-001
  2.80000E-003	  5.48207E-001
  3.00000E-003	  5.36737E-001
  3.20000E-003	  5.35945E-001
  3.60000E-003	  5.34817E-001
  4.00000E-003	  5.35609E-001
  4.40000E-003	  5.38248E-001
  4.80000E-003	  5.27234E-001
  5.20000E-003	  5.35921E-001
  5.60000E-003	  5.23347E-001
  6.00000E-003	  5.25266E-001
  6.40000E-003	  5.28585E-001
  7.20000E-003	  5.23846E-001
  8.00000E-003	  5.26450E-001
  8.80000E-003	  5.18904E-001
  9.60000E-003	  5.24315E-001
  1.04000E-002	  5.11321E-001
  1.12000E-002	  5.13853E-001
  1.20000E-002	  5.08705E-001
  1.28000E-002	  5.09271E-001
  1.44000E-002	  5.05767E-001
  1.60000E-002	  4.97543E-001
  1.76000E-002	  4.86666E-001
  1.92000E-002	  4.85670E-001
  2.08000E-002	  4.81711E-001
  2.24000E-002	  4.76984E-001
  2.40000E-002	  4.73906E-001
  2.56000E-002	  4.69612E-001
  2.88000E-002	  4.61405E-001
  3.20000E-002	  4.52077E-001
  3.52000E-002	  4.43357E-001
  3.84000E-002	  4.36002E-001
  4.16000E-002	  4.23425E-001
  4.48000E-002	  4.18474E-001
  4.80000E-002	  4.08779E-001
  5.12000E-002	  3.99407E-001
  5.76000E-002	  3.84033E-001
