ALV-5000/E-WIN Data
Date :	"15.03.18"
Time :	"11:44:50"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      60.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     195.93863
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  4.17216E-001
  4.00000E-004	  4.19997E-001
  6.00000E-004	  4.14767E-001
  8.00000E-004	  4.13202E-001
  1.00000E-003	  4.11290E-001
  1.20000E-003	  4.10207E-001
  1.40000E-003	  4.07470E-001
  1.60000E-003	  4.09489E-001
  1.80000E-003	  4.07462E-001
  2.00000E-003	  4.10753E-001
  2.20000E-003	  4.09427E-001
  2.40000E-003	  4.05838E-001
  2.60000E-003	  4.04658E-001
  2.80000E-003	  4.03150E-001
  3.00000E-003	  4.06548E-001
  3.20000E-003	  4.04121E-001
  3.60000E-003	  4.02342E-001
  4.00000E-003	  3.99588E-001
  4.40000E-003	  3.96494E-001
  4.80000E-003	  3.97680E-001
  5.20000E-003	  3.95651E-001
  5.60000E-003	  3.96088E-001
  6.00000E-003	  3.96632E-001
  6.40000E-003	  3.93174E-001
  7.20000E-003	  3.90932E-001
  8.00000E-003	  3.89722E-001
  8.80000E-003	  3.86784E-001
  9.60000E-003	  3.83177E-001
  1.04000E-002	  3.83643E-001
  1.12000E-002	  3.79416E-001
  1.20000E-002	  3.75989E-001
  1.28000E-002	  3.74108E-001
  1.44000E-002	  3.68657E-001
  1.60000E-002	  3.66247E-001
  1.76000E-002	  3.60531E-001
  1.92000E-002	  3.56823E-001
  2.08000E-002	  3.52816E-001
  2.24000E-002	  3.50934E-001
  2.40000E-002	  3.44476E-001
  2.56000E-002	  3.39913E-001
  2.88000E-002	  3.31983E-001
  3.20000E-002	  3.23625E-001
  3.52000E-002	  3.15183E-001
  3.84000E-002	  3.09519E-001
  4.16000E-002	  3.00664E-001
  4.48000E-002	  2.92943E-001
  4.80000E-002	  2.87313E-001
  5.12000E-002	  2.79385E-001
  5.76000E-002	  2.66882E-001
  6.40000E-002	  2.54251E-001
  7.04000E-002	  2.41935E-001
  7.68000E-002	  2.30053E-001
  8.32000E-002	  2.20193E-001
  8.96000E-002	  2.09928E-001
  9.60000E-002	  1.98903E-001
  1.02400E-001	  1.90231E-001
  1.15200E-001	  1.73035E-001
  1.28000E-001	  1.56458E-001
  1.40800E-001	  1.42101E-001
  1.53600E-001	  1.28873E-001
  1.66400E-001	  1.17178E-001
  1.79200E-001	  1.05542E-001
  1.92000E-001	  9.64605E-002
  2.04800E-001	  8.72132E-002
  2.30400E-001	  7.21622E-002
  2.56000E-001	  5.91738E-002
  2.81600E-001	  4.87863E-002
  3.07200E-001	  4.04536E-002
  3.32800E-001	  3.35574E-002
  3.58400E-001	  2.77196E-002
  3.84000E-001	  2.28815E-002
  4.09600E-001	  1.92736E-002
  4.60800E-001	  1.33849E-002
  5.12000E-001	  9.05376E-003
  5.63200E-001	  5.82507E-003
  6.14400E-001	  4.45776E-003
  6.65600E-001	  3.61819E-003
  7.16800E-001	  3.15275E-003
  7.68000E-001	  2.91213E-003
  8.19200E-001	  1.67274E-003
  9.21600E-001	  7.59663E-004
  1.02400E+000	  1.98045E-004
  1.12640E+000	 -1.14479E-003
  1.22880E+000	 -6.73353E-004
  1.33120E+000	 -3.31897E-004
  1.43360E+000	  3.82849E-004
  1.53600E+000	  3.53936E-004
  1.63840E+000	  6.85017E-004
  1.84320E+000	  1.12253E-003
  2.04800E+000	  1.44880E-003
  2.25280E+000	  6.97158E-004
  2.45760E+000	  1.36659E-003
  2.66240E+000	  9.31137E-004
  2.86720E+000	  7.34834E-004
  3.07200E+000	 -2.76738E-004
  3.22560E+000	  1.50346E-004
  3.63520E+000	 -9.77789E-005
  4.04480E+000	  1.30515E-003
  4.45440E+000	  1.56090E-003
  4.86400E+000	 -7.62324E-004
  5.27360E+000	  5.11588E-004
  5.68320E+000	  1.64314E-003
  6.09280E+000	  1.52806E-004
