ALV-5000/E-WIN Data
Date :	"15.03.18"
Time :	"11:57:46"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      60.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      54.35177
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  5.12281E-001
  4.00000E-004	  4.95794E-001
  6.00000E-004	  4.89395E-001
  8.00000E-004	  4.72274E-001
  1.00000E-003	  4.83457E-001
  1.20000E-003	  4.73715E-001
  1.40000E-003	  4.78327E-001
  1.60000E-003	  4.75560E-001
  1.80000E-003	  4.90721E-001
  2.00000E-003	  4.77404E-001
  2.20000E-003	  4.69852E-001
  2.40000E-003	  4.63338E-001
  2.60000E-003	  4.87377E-001
  2.80000E-003	  4.67028E-001
  3.00000E-003	  4.67892E-001
  3.20000E-003	  4.74294E-001
  3.60000E-003	  4.65849E-001
  4.00000E-003	  4.56423E-001
  4.40000E-003	  4.68587E-001
  4.80000E-003	  4.62303E-001
  5.20000E-003	  4.62073E-001
  5.60000E-003	  4.55530E-001
  6.00000E-003	  4.56827E-001
  6.40000E-003	  4.56318E-001
  7.20000E-003	  4.62731E-001
  8.00000E-003	  4.55885E-001
  8.80000E-003	  4.45350E-001
  9.60000E-003	  4.41891E-001
  1.04000E-002	  4.33475E-001
  1.12000E-002	  4.42136E-001
  1.20000E-002	  4.45134E-001
  1.28000E-002	  4.34607E-001
  1.44000E-002	  4.32466E-001
  1.60000E-002	  4.25793E-001
  1.76000E-002	  4.17924E-001
  1.92000E-002	  4.13060E-001
  2.08000E-002	  4.02445E-001
  2.24000E-002	  3.99498E-001
  2.40000E-002	  3.96284E-001
  2.56000E-002	  3.89718E-001
  2.88000E-002	  3.75792E-001
  3.20000E-002	  3.70186E-001
  3.52000E-002	  3.64097E-001
  3.84000E-002	  3.49065E-001
  4.16000E-002	  3.44114E-001
  4.48000E-002	  3.31752E-001
  4.80000E-002	  3.20662E-001
  5.12000E-002	  3.13569E-001
  5.76000E-002	  2.92942E-001
  6.40000E-002	  2.80317E-001
  7.04000E-002	  2.67863E-001
  7.68000E-002	  2.53872E-001
  8.32000E-002	  2.39260E-001
  8.96000E-002	  2.25165E-001
  9.60000E-002	  2.13728E-001
  1.02400E-001	  2.04147E-001
  1.15200E-001	  1.86455E-001
  1.28000E-001	  1.68442E-001
  1.40800E-001	  1.48566E-001
  1.53600E-001	  1.34454E-001
  1.66400E-001	  1.21140E-001
  1.79200E-001	  1.11014E-001
  1.92000E-001	  9.86218E-002
  2.04800E-001	  8.92232E-002
  2.30400E-001	  7.26445E-002
  2.56000E-001	  5.88574E-002
  2.81600E-001	  4.70024E-002
  3.07200E-001	  3.90401E-002
  3.32800E-001	  3.22195E-002
  3.58400E-001	  2.75347E-002
  3.84000E-001	  2.16220E-002
  4.09600E-001	  1.74812E-002
  4.60800E-001	  1.21451E-002
  5.12000E-001	  8.96545E-003
  5.63200E-001	  7.81990E-003
  6.14400E-001	  5.23901E-003
  6.65600E-001	  4.08602E-003
  7.16800E-001	  3.53276E-003
  7.68000E-001	  2.46850E-003
  8.19200E-001	  2.37760E-003
  9.21600E-001	  2.05599E-003
  1.02400E+000	  8.87179E-004
  1.12640E+000	  6.05308E-004
  1.22880E+000	  4.18264E-004
  1.33120E+000	 -1.26490E-003
  1.43360E+000	  1.11607E-003
  1.53600E+000	  2.03414E-003
  1.63840E+000	  6.45773E-004
  1.84320E+000	 -8.73795E-005
  2.04800E+000	  2.70423E-004
  2.25280E+000	  1.30773E-003
  2.45760E+000	  4.39862E-004
  2.66240E+000	 -8.82455E-004
  2.86720E+000	 -6.15625E-004
  3.07200E+000	 -1.09833E-003
  3.22560E+000	 -1.37735E-003
  3.63520E+000	 -3.11032E-004
  4.04480E+000	 -2.18941E-004
  4.45440E+000	  5.99103E-004
  4.86400E+000	 -9.48286E-005
  5.27360E+000	  1.07251E-003
  5.68320E+000	  3.82554E-004
  6.09280E+000	  4.58605E-004
  6.50240E+000	 -1.64695E-003
  7.32160E+000	 -1.04342E-003
  8.14080E+000	  7.34007E-004
  8.96000E+000	 -1.10104E-003
  9.77920E+000	 -5.60371E-004
  1.05984E+001	 -6.12644E-004
  1.14176E+001	 -7.08959E-004
  1.22368E+001	  5.47612E-004
  1.30560E+001	  6.64132E-004
  1.46944E+001	 -3.59900E-004
  1.63328E+001	  4.81434E-004
  1.79712E+001	 -6.82202E-004
  1.96096E+001	 -2.96498E-004
  2.12480E+001	 -4.27961E-004
  2.28864E+001	 -2.90891E-006
  2.45248E+001	  4.32150E-004
  2.61632E+001	 -8.94112E-005
  2.94400E+001	  4.71024E-004
  3.27168E+001	  1.00418E-004
  3.59936E+001	  2.67088E-004
  3.92704E+001	  4.98436E-004
  4.25472E+001	 -4.31151E-004
  4.58240E+001	 -2.25541E-005
  4.91008E+001	 -2.82138E-004
  5.23776E+001	 -2.01850E-004
  5.89312E+001	  3.04958E-004
  6.54848E+001	  9.95225E-005
  7.20384E+001	 -8.55450E-005
  7.85920E+001	 -6.54125E-005
  8.51456E+001	 -2.63562E-004
  9.16992E+001	 -9.12816E-005
  9.82528E+001	 -4.33226E-004
  1.04806E+002	 -1.81239E-004
  1.17914E+002	  2.50932E-004
  1.31021E+002	 -2.07972E-004
  1.44128E+002	  1.69261E-004
  1.57235E+002	 -2.62792E-004
  1.70342E+002	 -8.15925E-005
  1.83450E+002	  4.67813E-005
  1.96557E+002	  9.57940E-006
  2.09664E+002	  9.23977E-005
  2.35878E+002	 -1.73336E-004
  2.62093E+002	  1.36512E-004
  2.88307E+002	  2.29543E-005
  3.14522E+002	 -2.56935E-004
  3.40736E+002	  2.29930E-005
  3.66950E+002	  2.32867E-005
  3.93165E+002	 -1.64185E-004
  4.19379E+002	 -7.83286E-005
  4.71808E+002	  6.51504E-005
  5.24237E+002	 -7.02451E-005
  5.76666E+002	 -1.03036E-004
  6.29094E+002	 -8.90334E-006
  6.81523E+002	 -3.21179E-005
  7.33952E+002	  3.57924E-005
  7.86381E+002	 -1.50597E-004
  8.38810E+002	  7.28848E-005
  9.43667E+002	  8.41306E-005
  1.04852E+003	  6.08835E-005
  1.15338E+003	 -5.16474E-005
  1.25824E+003	 -1.30342E-004
  1.36310E+003	  4.37922E-005
  1.46796E+003	 -8.25394E-005
  1.57281E+003	 -5.89689E-005
  1.67767E+003	 -3.88449E-005
  1.88739E+003	 -7.59197E-005
  2.09710E+003	  6.66887E-005
  2.30682E+003	  7.20017E-005
  2.51653E+003	  2.28008E-005
  2.72625E+003	 -2.53837E-005
  2.93596E+003	  1.95468E-005
  3.14568E+003	  5.44573E-005
  3.35539E+003	 -6.91326E-005
  3.77482E+003	  5.05245E-005
  4.19425E+003	 -1.73139E-005
  4.61368E+003	  1.25675E-005
  5.03311E+003	 -1.74322E-005
  5.45254E+003	 -1.17524E-005
  5.87197E+003	 -1.42357E-005
  6.29140E+003	 -3.72752E-005

"Count Rate"
       0.11719	      51.60245
       0.23438	      56.11820
       0.35156	      52.43901
       0.46875	      53.52314
       0.58594	      54.47068
       0.70313	      55.94747
       0.82031	      53.46338
       0.93750	      53.74508
       1.05469	      57.72304
       1.17188	      58.53399
       1.28906	      53.20729
       1.40625	      53.40363
       1.52344	      56.62185
       1.64063	      55.48650
       1.75781	      53.74508
       1.87500	      54.64140
       1.99219	      60.09615
       2.10938	      58.17546
       2.22656	      54.67555
       2.34375	      53.14754
       2.46094	      51.94390
       2.57813	      53.20729
       2.69531	      53.77069
       2.81250	      54.06947
       2.92969	      55.09383
       3.04688	      55.52919
       3.16406	      52.74633
       3.28125	      53.76215
       3.39844	      56.98037
       3.51563	      52.14024
       3.63281	      52.60974
       3.75000	      54.41946
       3.86719	      55.13651
       3.98438	      56.12674
       4.10156	      55.93040
       4.21875	      60.11322
       4.33594	      55.76820
