ALV-5000/E-WIN Data
Date :	"15.03.18"
Time :	"12:04:05"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      60.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     412.78839
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  5.05087E-001
  4.00000E-004	  5.41817E-001
  6.00000E-004	  5.45341E-001
  8.00000E-004	  5.45998E-001
  1.00000E-003	  5.48516E-001
  1.20000E-003	  5.46951E-001
  1.40000E-003	  5.46394E-001
  1.60000E-003	  5.46065E-001
  1.80000E-003	  5.44916E-001
  2.00000E-003	  5.44293E-001
  2.20000E-003	  5.44834E-001
  2.40000E-003	  5.43999E-001
  2.60000E-003	  5.45496E-001
  2.80000E-003	  5.46142E-001
  3.00000E-003	  5.43743E-001
  3.20000E-003	  5.42844E-001
  3.60000E-003	  5.43791E-001
  4.00000E-003	  5.43090E-001
  4.40000E-003	  5.42453E-001
  4.80000E-003	  5.42687E-001
  5.20000E-003	  5.42490E-001
  5.60000E-003	  5.42004E-001
  6.00000E-003	  5.42829E-001
  6.40000E-003	  5.41752E-001
  7.20000E-003	  5.40512E-001
  8.00000E-003	  5.39601E-001
  8.80000E-003	  5.38775E-001
  9.60000E-003	  5.39360E-001
  1.04000E-002	  5.37511E-001
  1.12000E-002	  5.37158E-001
  1.20000E-002	  5.36882E-001
  1.28000E-002	  5.36063E-001
  1.44000E-002	  5.33243E-001
  1.60000E-002	  5.32532E-001
  1.76000E-002	  5.30177E-001
  1.92000E-002	  5.28339E-001
  2.08000E-002	  5.27205E-001
  2.24000E-002	  5.26140E-001
  2.40000E-002	  5.24519E-001
  2.56000E-002	  5.23369E-001
  2.88000E-002	  5.20754E-001
  3.20000E-002	  5.17060E-001
  3.52000E-002	  5.14375E-001
  3.84000E-002	  5.11643E-001
  4.16000E-002	  5.09018E-001
  4.48000E-002	  5.06649E-001
  4.80000E-002	  5.03898E-001
  5.12000E-002	  5.00679E-001
  5.76000E-002	  4.96030E-001
  6.40000E-002	  4.90533E-001
  7.04000E-002	  4.85439E-001
  7.68000E-002	  4.80710E-001
  8.32000E-002	  4.75993E-001
  8.96000E-002	  4.71391E-001
  9.60000E-002	  4.66707E-001
  1.02400E-001	  4.62139E-001
  1.15200E-001	  4.53958E-001
  1.28000E-001	  4.45600E-001
  1.40800E-001	  4.37721E-001
  1.53600E-001	  4.30486E-001
  1.66400E-001	  4.23376E-001
  1.79200E-001	  4.16418E-001
  1.92000E-001	  4.09622E-001
  2.04800E-001	  4.03259E-001
  2.30400E-001	  3.91221E-001
  2.56000E-001	  3.79978E-001
  2.81600E-001	  3.69165E-001
  3.07200E-001	  3.59108E-001
  3.32800E-001	  3.49403E-001
  3.58400E-001	  3.40723E-001
  3.84000E-001	  3.32204E-001
  4.09600E-001	  3.23931E-001
