Time	Correlation

  2.00000E-004	  6.71310E-001
  4.00000E-004	  6.14313E-001
  6.00000E-004	  5.54098E-001
  8.00000E-004	  5.51340E-001
  1.00000E-003	  5.66049E-001
  1.20000E-003	  5.30656E-001
  1.40000E-003	  4.97560E-001
  1.60000E-003	  5.15487E-001
  1.80000E-003	  5.47663E-001
  2.00000E-003	  4.79634E-001
  2.20000E-003	  5.11350E-001
  2.40000E-003	  4.94343E-001
  2.60000E-003	  5.48582E-001
  2.80000E-003	  5.29736E-001
  3.00000E-003	  5.73863E-001
  3.20000E-003	  5.06753E-001
  3.60000E-003	  5.07213E-001
  4.00000E-003	  5.06294E-001
  4.40000E-003	  5.11120E-001
  4.80000E-003	  5.11810E-001
  5.20000E-003	  5.09511E-001
  5.60000E-003	  5.28357E-001
  6.00000E-003	  5.09282E-001
  6.40000E-003	  5.16176E-001
  7.20000E-003	  5.08362E-001
  8.00000E-003	  4.94228E-001
  8.80000E-003	  5.10201E-001
  9.60000E-003	  5.00088E-001
  1.04000E-002	  5.08477E-001
  1.12000E-002	  4.92389E-001
  1.20000E-002	  5.06064E-001
  1.28000E-002	  4.85160E-001
  1.44000E-002	  4.94755E-001
  1.60000E-002	  4.73151E-001
  1.76000E-002	  4.62349E-001
  1.92000E-002	  4.69991E-001
  2.08000E-002	  4.83207E-001
  2.24000E-002	  4.69072E-001
  2.40000E-002	  4.62120E-001
  2.56000E-002	  4.62882E-001
  2.88000E-002	  4.51103E-001
  3.20000E-002	  4.39611E-001
  3.52000E-002	  4.25994E-001
  3.84000E-002	  4.47455E-001
  4.16000E-002	  4.35877E-001
  4.48000E-002	  4.14646E-001
  4.80000E-002	  4.25994E-001
  5.12000E-002	  4.14356E-001
  5.76000E-002	  3.86877E-001
  6.40000E-002	  3.74138E-001
  7.04000E-002	  3.74181E-001
  7.68000E-002	  3.62244E-001
  8.32000E-002	  3.45454E-001
  8.96000E-002	  3.38061E-001
  9.60000E-002	  3.23034E-001
  1.02400E-001	  3.17202E-001
  1.15200E-001	  2.96843E-001
  1.28000E-001	  2.79521E-001
  1.40800E-001	  2.64304E-001
  1.53600E-001	  2.39807E-001
  1.66400E-001	  2.36891E-001
  1.79200E-001	  2.18276E-001
  1.92000E-001	  2.04730E-001
  2.04800E-001	  1.94447E-001
  2.30400E-001	  1.70891E-001
  2.56000E-001	  1.53763E-001
  2.81600E-001	  1.36011E-001
  3.07200E-001	  1.19985E-001
  3.32800E-001	  1.04408E-001
  3.58400E-001	  9.60480E-002
  3.84000E-001	  8.05427E-002
  4.09600E-001	  7.28036E-002
  4.60800E-001	  5.78074E-002
  5.12000E-001	  4.78835E-002
  5.63200E-001	  3.66901E-002
  6.14400E-001	  2.99372E-002
  6.65600E-001	  2.36565E-002
  7.16800E-001	  1.52049E-002
  7.68000E-001	  1.26912E-002
  8.19200E-001	  9.72496E-003
  9.21600E-001	  3.28890E-003
  1.02400E+000	  4.64362E-003
  1.12640E+000	  1.88842E-003
  1.22880E+000	  1.79419E-003
  1.33120E+000	  1.97105E-003
  1.43360E+000	  6.82655E-004
  1.53600E+000	  3.29342E-003
  1.63840E+000	  3.53429E-003
  1.84320E+000	  1.15292E-003
  2.04800E+000	  4.97292E-005
  2.25280E+000	  3.57137E-004
