Time	Correlation

  2.00000E-004	  5.11175E-001
  4.00000E-004	  5.02570E-001
  6.00000E-004	  4.93444E-001
  8.00000E-004	  5.00023E-001
  1.00000E-003	  5.21376E-001
  1.20000E-003	  5.28220E-001
  1.40000E-003	  5.11511E-001
  1.60000E-003	  4.95712E-001
  1.80000E-003	  4.93232E-001
  2.00000E-003	  5.03014E-001
  2.20000E-003	  5.23201E-001
  2.40000E-003	  5.25361E-001
  2.60000E-003	  5.05698E-001
  2.80000E-003	  4.93291E-001
  3.00000E-003	  4.92521E-001
  3.20000E-003	  5.07468E-001
  3.60000E-003	  5.15720E-001
  4.00000E-003	  4.94754E-001
  4.40000E-003	  5.10833E-001
  4.80000E-003	  5.12930E-001
  5.20000E-003	  4.92684E-001
  5.60000E-003	  5.11317E-001
  6.00000E-003	  5.09907E-001
  6.40000E-003	  5.02327E-001
  7.20000E-003	  5.03526E-001
  8.00000E-003	  5.05664E-001
  8.80000E-003	  5.00318E-001
  9.60000E-003	  5.01066E-001
  1.04000E-002	  5.03917E-001
  1.12000E-002	  4.99116E-001
  1.20000E-002	  4.96847E-001
  1.28000E-002	  4.99747E-001
  1.44000E-002	  4.96781E-001
  1.60000E-002	  4.97090E-001
  1.76000E-002	  4.94988E-001
  1.92000E-002	  4.93291E-001
  2.08000E-002	  4.93254E-001
  2.24000E-002	  4.91302E-001
  2.40000E-002	  4.90166E-001
  2.56000E-002	  4.89201E-001
  2.88000E-002	  4.86345E-001
  3.20000E-002	  4.84208E-001
  3.52000E-002	  4.81709E-001
  3.84000E-002	  4.79855E-001
  4.16000E-002	  4.77440E-001
  4.48000E-002	  4.75043E-001
  4.80000E-002	  4.73237E-001
  5.12000E-002	  4.70686E-001
  5.76000E-002	  4.66102E-001
  6.40000E-002	  4.61978E-001
  7.04000E-002	  4.57674E-001
  7.68000E-002	  4.53651E-001
  8.32000E-002	  4.50041E-001
  8.96000E-002	  4.45818E-001
  9.60000E-002	  4.42167E-001
  1.02400E-001	  4.38640E-001
  1.15200E-001	  4.31433E-001
  1.28000E-001	  4.24474E-001
  1.40800E-001	  4.17889E-001
  1.53600E-001	  4.11542E-001
  1.66400E-001	  4.05458E-001
  1.79200E-001	  3.99462E-001
  1.92000E-001	  3.93781E-001
  2.04800E-001	  3.88418E-001
  2.30400E-001	  3.78013E-001
  2.56000E-001	  3.68419E-001
  2.81600E-001	  3.59355E-001
  3.07200E-001	  3.50773E-001
  3.32800E-001	  3.42448E-001
  3.58400E-001	  3.34773E-001
  3.84000E-001	  3.27521E-001
  4.09600E-001	  3.20776E-001
  4.60800E-001	  3.07970E-001
  5.12000E-001	  2.96103E-001
  5.63200E-001	  2.85219E-001
  6.14400E-001	  2.75208E-001
  6.65600E-001	  2.65884E-001
  7.16800E-001	  2.57123E-001
  7.68000E-001	  2.48698E-001
  8.19200E-001	  2.41278E-001
  9.21600E-001	  2.27253E-001
  1.02400E+000	  2.14572E-001
  1.12640E+000	  2.03081E-001
  1.22880E+000	  1.92643E-001
  1.33120E+000	  1.83177E-001
  1.43360E+000	  1.74642E-001
  1.53600E+000	  1.66691E-001
  1.63840E+000	  1.59343E-001
  1.84320E+000	  1.45242E-001
  2.04800E+000	  1.33180E-001
  2.25280E+000	  1.23136E-001
  2.45760E+000	  1.14916E-001
  2.66240E+000	  1.06934E-001
  2.86720E+000	  9.96504E-002
  3.07200E+000	  9.26794E-002
  3.22560E+000	  8.78505E-002
  3.63520E+000	  7.58891E-002
  4.04480E+000	  6.79230E-002
  4.45440E+000	  6.18056E-002
  4.86400E+000	  5.73875E-002
  5.27360E+000	  5.32570E-002
  5.68320E+000	  4.89811E-002
  6.09280E+000	  4.43532E-002
  6.50240E+000	  4.07338E-002
  7.32160E+000	  3.41463E-002
  8.14080E+000	  2.84062E-002
  8.96000E+000	  2.21066E-002
  9.77920E+000	  1.75792E-002
  1.05984E+001	  1.50571E-002
  1.14176E+001	  1.30145E-002
  1.22368E+001	  1.01115E-002
  1.30560E+001	  9.68640E-003
  1.46944E+001	  7.46525E-003
  1.63328E+001	  3.47977E-003
  1.79712E+001	  2.81559E-003
  1.96096E+001	  2.00064E-003
  2.12480E+001	  8.53164E-004
  2.28864E+001	  6.84413E-004
  2.45248E+001	 -1.85463E-003
  2.61632E+001	 -1.81930E-005
  2.94400E+001	 -3.11351E-004
