Time	Correlation

  2.00000E-004	  4.14741E-001
  4.00000E-004	  4.17472E-001
  6.00000E-004	  4.13183E-001
  8.00000E-004	  4.11456E-001
  1.00000E-003	  4.11303E-001
  1.20000E-003	  4.11577E-001
  1.40000E-003	  4.12214E-001
  1.60000E-003	  4.12973E-001
  1.80000E-003	  4.13702E-001
  2.00000E-003	  4.13363E-001
  2.20000E-003	  4.11994E-001
  2.40000E-003	  4.11018E-001
  2.60000E-003	  4.10340E-001
  2.80000E-003	  4.09569E-001
  3.00000E-003	  4.09466E-001
  3.20000E-003	  4.09259E-001
  3.60000E-003	  4.09465E-001
  4.00000E-003	  4.09438E-001
  4.40000E-003	  4.07272E-001
  4.80000E-003	  4.06353E-001
  5.20000E-003	  4.06958E-001
  5.60000E-003	  4.06624E-001
  6.00000E-003	  4.05373E-001
  6.40000E-003	  4.04765E-001
  7.20000E-003	  4.03355E-001
  8.00000E-003	  4.02614E-001
  8.80000E-003	  4.01201E-001
  9.60000E-003	  4.00395E-001
  1.04000E-002	  3.99021E-001
  1.12000E-002	  3.97718E-001
  1.20000E-002	  3.97012E-001
  1.28000E-002	  3.95807E-001
  1.44000E-002	  3.93636E-001
  1.60000E-002	  3.91542E-001
  1.76000E-002	  3.89567E-001
  1.92000E-002	  3.87659E-001
  2.08000E-002	  3.85657E-001
  2.24000E-002	  3.83681E-001
  2.40000E-002	  3.81926E-001
  2.56000E-002	  3.80134E-001
  2.88000E-002	  3.76720E-001
  3.20000E-002	  3.73447E-001
  3.52000E-002	  3.70390E-001
  3.84000E-002	  3.67455E-001
  4.16000E-002	  3.64548E-001
  4.48000E-002	  3.61885E-001
  4.80000E-002	  3.59327E-001
  5.12000E-002	  3.56852E-001
  5.76000E-002	  3.52082E-001
  6.40000E-002	  3.47760E-001
  7.04000E-002	  3.43768E-001
  7.68000E-002	  3.40016E-001
  8.32000E-002	  3.36491E-001
  8.96000E-002	  3.33250E-001
  9.60000E-002	  3.30137E-001
  1.02400E-001	  3.27305E-001
  1.15200E-001	  3.22094E-001
  1.28000E-001	  3.17440E-001
  1.40800E-001	  3.13211E-001
  1.53600E-001	  3.09412E-001
  1.66400E-001	  3.05966E-001
  1.79200E-001	  3.02793E-001
  1.92000E-001	  2.99879E-001
  2.04800E-001	  2.97241E-001
  2.30400E-001	  2.92438E-001
  2.56000E-001	  2.88188E-001
  2.81600E-001	  2.84427E-001
  3.07200E-001	  2.81097E-001
  3.32800E-001	  2.78035E-001
  3.58400E-001	  2.75332E-001
  3.84000E-001	  2.72789E-001
  4.09600E-001	  2.70472E-001
  4.60800E-001	  2.66295E-001
  5.12000E-001	  2.62611E-001
  5.63200E-001	  2.59379E-001
  6.14400E-001	  2.56493E-001
  6.65600E-001	  2.53898E-001
  7.16800E-001	  2.51471E-001
  7.68000E-001	  2.49284E-001
  8.19200E-001	  2.47330E-001
  9.21600E-001	  2.43752E-001
  1.02400E+000	  2.40816E-001
  1.12640E+000	  2.38179E-001
  1.22880E+000	  2.35835E-001
  1.33120E+000	  2.33828E-001
  1.43360E+000	  2.32025E-001
