sichjt: lampe, schlauch vorne

lambda nm	intens mV
400	2.6
420	2.4
440	2.4
460	2.4
480	2.4
500	2.4
520	2.4
540	2.4
560	2.4
580	2.4
600	2.5
620	2.5
640	2.5
660	2.6
680	2.6
700	2.6
720	2.6
740	2.6
760	2.6
780	2.6
800	2.8
820	3.0
840	7.8
841	25.1
843	50.2
845	128.9
847	231.9
849	283.8
851	355.0
853	408.5
855	438.0
857	474.2
860	484.0
870	499.0
880	500.0
900	500.5
920	500.6
940	500.6
960	500.6
980	500.0
1000	489.1
1020	407.9
1040	291.1
1060	177.5
1080	110.9
1100	68.9
1120	40.0
1140	25.6
1160	17.5
1180	9.3
1200	2.0
