Sourcefile	20180308 101236 Faraday Bargraph Cycles.qmp
Exporttime	3.8.2018 10:40:46.122 

Start Time	3.8.2018 10:14:11.566 
End Time	3.8.2018 10:39:53.110 


Task Name	Scan
First Mass	1,00
Scan Width	50,00

Start Time	3.8.2018 10:14:11.566 

Mass [amu]	Ion Current [A]
1,00	1,198973e-011
2,00	3,014463e-011
3,00	4,920031e-014
4,00	2,847266e-014
5,00	2,848189e-014
6,00	5,699198e-014
7,00	3,774161e-014
8,00	3,975939e-014
9,00	3,108892e-014
10,00	3,062922e-014
11,00	3,097302e-014
12,00	1,256103e-012
13,00	9,612773e-013
14,00	2,009874e-012
15,00	3,672129e-012
16,00	1,116135e-012
17,00	3,386419e-012
18,00	1,076556e-011
19,00	4,298312e-013
20,00	1,044942e-012
21,00	5,765427e-014
22,00	4,398328e-014
23,00	2,915111e-014
24,00	5,609451e-013
25,00	1,080064e-012
26,00	2,431654e-012
27,00	5,450737e-012
28,00	5,596240e-012
29,00	4,001062e-012
30,00	5,559999e-013
31,00	8,119430e-013
32,00	2,153891e-013
33,00	1,043150e-013
34,00	9,457072e-014
35,00	1,483624e-013
36,00	7,634873e-013
37,00	1,074434e-012
38,00	9,587388e-013
39,00	2,633859e-012
40,00	4,386141e-013
41,00	2,560900e-012
42,00	8,135922e-013
43,00	1,642017e-012
44,00	8,476583e-013
45,00	6,645559e-013
46,00	8,908430e-014
47,00	1,084188e-013
48,00	9,843118e-014
49,00	1,556850e-013
50,00	4,064172e-013

Task Name	Scan
First Mass	1,00
Scan Width	50,00

Start Time	3.8.2018 10:22:43.714 

Mass [amu]	Ion Current [A]
1,00	3,151909e-012
2,00	4,238417e-012
3,00	2,540011e-014
4,00	2,239683e-014
5,00	2,125139e-014
6,00	9,990332e-014
7,00	2,333710e-014
8,00	6,091999e-014
9,00	2,096739e-014
10,00	1,831907e-014
11,00	2,032864e-014
12,00	1,079661e-012
13,00	5,038591e-013
14,00	6,647818e-013
15,00	8,978714e-013
16,00	9,122805e-013
17,00	2,677768e-012
18,00	6,947411e-012
19,00	1,345945e-013
20,00	1,960290e-013
21,00	1,696978e-014
22,00	1,621964e-014
23,00	1,546516e-014
24,00	2,971121e-013
25,00	3,989543e-013
26,00	7,083311e-013
27,00	1,236872e-012
28,00	1,813806e-012
29,00	9,105913e-013
30,00	1,321262e-013
31,00	2,093326e-013
32,00	9,139218e-014
33,00	3,068007e-014
34,00	2,836602e-014
35,00	4,753385e-014
36,00	2,413760e-013
37,00	3,359534e-013
38,00	2,741875e-013
39,00	7,087555e-013
40,00	1,290534e-013
41,00	6,382376e-013
42,00	2,319301e-013
43,00	4,160491e-013
44,00	4,463587e-013
45,00	2,043950e-013
46,00	3,595461e-014
47,00	3,178678e-014
48,00	3,621271e-014
49,00	5,352815e-014
50,00	1,351908e-013

Task Name	Scan
First Mass	1,00
Scan Width	50,00

Start Time	3.8.2018 10:31:15.923 

Mass [amu]	Ion Current [A]
1,00	2,221206e-012
2,00	2,272185e-012
3,00	6,985662e-015
4,00	7,637378e-015
5,00	5,732563e-015
6,00	6,117897e-014
7,00	6,377737e-015
8,00	5,475336e-014
9,00	4,903897e-015
10,00	3,459826e-015
11,00	5,298157e-015
12,00	7,007026e-013
13,00	2,958267e-013
14,00	3,724117e-013
15,00	4,744466e-013
16,00	9,767570e-013
17,00	2,575469e-012
18,00	6,261310e-012
19,00	8,152032e-014
20,00	9,951371e-014
21,00	2,903335e-015
22,00	3,233494e-015
23,00	1,757582e-015
24,00	1,682438e-013
25,00	2,195565e-013
26,00	3,930022e-013
27,00	6,442092e-013
28,00	1,229336e-012
29,00	5,098856e-013
30,00	7,262343e-014
31,00	1,154818e-013
32,00	5,717748e-014
33,00	8,896608e-015
34,00	7,553359e-015
35,00	1,917760e-014
36,00	1,322417e-013
37,00	1,887460e-013
38,00	1,521954e-013
39,00	4,001428e-013
40,00	7,102075e-014
41,00	3,619681e-013
42,00	1,361891e-013
43,00	2,453260e-013
44,00	4,352536e-013
45,00	1,324664e-013
46,00	1,845700e-014
47,00	1,117650e-014
48,00	1,741032e-014
49,00	2,416743e-014
50,00	7,627876e-014

Task Name	Scan
First Mass	1,00
Scan Width	50,00

Start Time	3.8.2018 10:39:48.110 

Mass [amu]	Ion Current [A]
1,00	1,982243e-012
2,00	1,660505e-012
3,00	-4,626014e-015
4,00	-4,742605e-015
5,00	-3,382446e-015
