Sourcefile	20180307 141332 Faraday Bargraph Cycles.qmp
Exporttime	3.7.2018 02:37:40.444 

Start Time	3.7.2018 02:19:21.894 
End Time	3.7.2018 02:36:33.353 


Task Name	Scan
First Mass	1,00
Scan Width	50,00

Start Time	3.7.2018 02:19:21.894 

Mass [amu]	Ion Current [A]
1,00	3,297261e-011
2,00	1,111918e-011
3,00	4,587424e-015
4,00	-3,125310e-015
5,00	-2,098529e-015
6,00	4,952854e-015
7,00	1,389147e-015
8,00	8,564179e-014
9,00	3,114937e-015
10,00	1,609304e-016
11,00	-1,718683e-015
12,00	1,089267e-012
13,00	6,341360e-013
14,00	1,714842e-012
15,00	3,927660e-012
16,00	1,227305e-011
17,00	1,083283e-010
18,00	4,049262e-010
19,00	6,208335e-012
20,00	1,909330e-012
21,00	4,461447e-014
22,00	7,923648e-014
23,00	2,074049e-015
24,00	1,686517e-013
25,00	4,924306e-013
26,00	1,881527e-012
27,00	4,958106e-012
28,00	1,160146e-011
29,00	6,355228e-012
30,00	1,549263e-012
31,00	1,390980e-012
32,00	3,234325e-013
33,00	1,431474e-013
34,00	6,677174e-014
35,00	3,294355e-014
36,00	2,480770e-013
37,00	4,928872e-013
38,00	6,521058e-013
39,00	2,820426e-012
40,00	6,222827e-013
41,00	4,816393e-012
42,00	1,772805e-012
43,00	3,844432e-012
44,00	5,998341e-012
45,00	3,788982e-012
46,00	3,011345e-013
47,00	1,503663e-013
48,00	9,066519e-014
49,00	9,943775e-014
50,00	4,082063e-013

Task Name	Scan
First Mass	1,00
Scan Width	50,00

Start Time	3.7.2018 02:27:55.017 

Mass [amu]	Ion Current [A]
1,00	2,752444e-011
2,00	5,721756e-012
3,00	-2,889021e-015
4,00	-6,325248e-015
5,00	-7,543303e-015
6,00	-1,619108e-015
7,00	-3,901280e-015
8,00	9,394638e-014
9,00	-4,233825e-015
10,00	-5,876634e-015
11,00	-7,514046e-015
12,00	6,679664e-013
13,00	3,701094e-013
14,00	9,469945e-013
15,00	2,131699e-012
16,00	9,636480e-012
17,00	8,816878e-011
18,00	3,317038e-010
19,00	5,473586e-012
20,00	9,673020e-013
21,00	1,953411e-014
22,00	4,767570e-014
23,00	-5,868131e-015
24,00	1,149015e-013
25,00	3,248925e-013
26,00	1,218938e-012
27,00	2,923007e-012
28,00	7,395921e-012
29,00	3,677636e-012
30,00	9,366379e-013
31,00	8,049287e-013
32,00	2,368345e-013
33,00	7,846183e-014
34,00	3,354527e-014
35,00	1,643850e-014
36,00	1,749475e-013
37,00	3,447930e-013
38,00	4,449919e-013
39,00	1,823194e-012
40,00	4,077887e-013
41,00	2,995093e-012
42,00	1,167799e-012
43,00	2,440375e-012
44,00	4,506792e-012
45,00	2,463839e-012
46,00	1,954195e-013
47,00	8,812006e-014
48,00	6,468657e-014
49,00	6,707989e-014
50,00	2,833194e-013

Task Name	Scan
First Mass	1,00
Scan Width	50,00

Start Time	3.7.2018 02:36:28.353 

Mass [amu]	Ion Current [A]
1,00	2,492960e-011
2,00	4,469187e-012
3,00	-1,011643e-014
4,00	-1,130056e-014
5,00	-1,157180e-014
6,00	-6,315183e-015
